,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
22,hg112,0.6,0.7,0.4,gemma_2b,16.0,32.0,-0.1947368421052632
23,hg11,0.95,0.9,0.9,gemma_2b,68.18181818181819,9.090909090909092,-0.09999999999999998
24,hg12,0.6862745098039216,0.9166666666666666,0.5833333333333334,gemma_2b,17.391304347826086,34.78260869565217,-0.08333333333333337
25,hg13,0.8717948717948718,0.7777777777777778,0.8888888888888888,gemma_2b,21.73913043478261,4.3478260869565215,-0.2222222222222222
26,hg14,0.673469387755102,0.4166666666666667,0.75,gemma_2b,19.047619047619047,4.761904761904762,-0.5833333333333333
27,hg15,0.4318181818181818,0.5454545454545454,0.5454545454545454,gemma_2b,5.2631578947368425,21.05263157894737,-0.40454545454545454
28,hg16,0.7105263157894737,0.8888888888888888,0.4444444444444444,gemma_2b,40.909090909090914,45.45454545454546,-0.05228758169934644
29,hg17,0.8333333333333334,0.9166666666666666,0.8333333333333334,gemma_2b,85.71428571428571,61.904761904761905,0.1071428571428571
30,hg18,0.8222222222222222,0.7272727272727273,0.7272727272727273,gemma_2b,12.0,4.0,-0.2727272727272727
31,hg19,0.6410256410256411,1.0,0.6666666666666666,gemma_2b,13.636363636363637,100.00000000000001,0.0
32,hg20,0.6216216216216216,0.5555555555555556,0.4444444444444444,gemma_2b,0.0,0.0,-0.4444444444444444
33,hg21,0.8163265306122449,0.8333333333333334,0.75,gemma_2b,32.0,24.0,-0.16666666666666663
34,hg22,0.8974358974358975,1.0,0.7777777777777778,gemma_2b,45.45454545454546,100.00000000000001,0.0
35,hg23,0.6739130434782609,0.8181818181818182,0.5454545454545454,gemma_2b,4.545454545454546,9.090909090909092,-0.18181818181818177
36,hg24,0.8571428571428571,0.9,0.8,gemma_2b,36.36363636363637,9.090909090909092,-0.09999999999999998
37,hg25,0.6808510638297872,0.8181818181818182,0.45454545454545453,gemma_2b,13.636363636363637,18.181818181818183,-0.18181818181818177
38,hg26,0.8936170212765957,1.0,0.9090909090909091,gemma_2b,61.904761904761905,100.0,0.19999999999999996
39,hg27,0.7272727272727273,0.7272727272727273,0.8181818181818182,gemma_2b,39.130434782608695,17.391304347826086,-0.22272727272727266
40,hg28,0.7254901960784313,0.9166666666666666,0.5833333333333334,gemma_2b,43.47826086956522,47.826086956521735,-0.033333333333333326
41,hg29,0.8809523809523809,1.0,0.8,gemma_2b,56.52173913043478,100.0,0.0
42,hg30,0.8222222222222222,0.9090909090909091,0.9090909090909091,gemma_2b,47.61904761904762,42.857142857142854,-0.038277511961722466
43,hg31,0.58,0.6666666666666666,0.4166666666666667,gemma_2b,8.0,8.0,-0.2857142857142857
44,hg32,0.75,0.5,0.9,gemma_2b,50.0,8.333333333333334,-0.4722222222222222
45,hg33,0.7872340425531915,1.0,0.6363636363636364,gemma_2b,4.761904761904762,100.0,0.05555555555555558
